2026/06/21 14:01:06.094891 [QueueManager] POST /qm/lease took 10.101µs
2026/06/21 14:01:06.295559 [QueueManager] POST /qm/ack took 13.411µs
2026/06/21 14:01:06.295582 [QueueManager] POST /qm/ack took 8.891µs
2026/06/21 14:01:07.887897 [QueueManager] POST /brokers/heartbeat took 16.551µs
2026/06/21 14:01:09.112555 [QueueManager] Auto-routing topic "restart-topic" to broker "broker-1" (http://localhost:8081)
2026/06/21 14:01:09.112601 [QueueManager] GET /topics/route took 48.493µs
2026/06/21 14:01:09.113473 [QueueManager] Topic "restart-topic" mapped to broker "broker-1"
2026/06/21 14:01:09.113486 [QueueManager] POST /topics/register took 23.671µs
2026/06/21 14:01:09.322446 [QueueManager] GET /topics/route took 22.071µs
2026/06/21 14:01:09.323195 [QueueManager] POST /qm/lease took 23.631µs
2026/06/21 14:01:09.323537 [QueueManager] POST /qm/ack took 14.891µs
2026/06/21 14:01:09.527265 [QueueManager] GET /topics/route took 20.202µs
2026/06/21 14:01:09.737484 [QueueManager] GET /topics/route took 23.052µs
2026/06/21 14:01:09.738164 [QueueManager] POST /qm/lease took 16.871µs
2026/06/21 14:01:09.738645 [QueueManager] POST /qm/ack took 10.55µs
2026/06/21 14:01:09.886979 [QueueManager] POST /brokers/heartbeat took 8.971µs
2026/06/21 14:01:09.947395 [QueueManager] Auto-routing topic "multigroup-topic" to broker "broker-1" (http://localhost:8081)
2026/06/21 14:01:09.947427 [QueueManager] GET /topics/route took 36.412µs
2026/06/21 14:01:09.948138 [QueueManager] Topic "multigroup-topic" mapped to broker "broker-1"
2026/06/21 14:01:09.948149 [QueueManager] POST /topics/register took 20.631µs
2026/06/21 14:01:10.158831 [QueueManager] GET /topics/route took 19.952µs
2026/06/21 14:01:10.159495 [QueueManager] POST /qm/lease took 17.591µs
2026/06/21 14:01:10.159843 [QueueManager] POST /qm/ack took 9.811µs
2026/06/21 14:01:10.564139 [QueueManager] GET /topics/route took 19.401µs
2026/06/21 14:01:10.564761 [QueueManager] POST /qm/lease took 17.631µs
2026/06/21 14:01:10.565066 [QueueManager] POST /qm/ack took 9.49µs
2026/06/21 14:01:10.771669 [QueueManager] Registered broker "broker-2" at http://localhost:8082
2026/06/21 14:01:10.771685 [QueueManager] POST /brokers/register took 58.813µs
2026/06/21 14:01:11.887134 [QueueManager] POST /brokers/heartbeat took 14.291µs
2026/06/21 14:01:12.773756 [QueueManager] POST /brokers/heartbeat took 26.582µs
2026/06/21 14:01:12.773951 [QueueManager] Auto-routing topic "topic-broker2" to broker "broker-2" (http://localhost:8082)
2026/06/21 14:01:12.773996 [QueueManager] GET /topics/route took 49.113µs
2026/06/21 14:01:12.775045 [QueueManager] Topic "topic-broker2" mapped to broker "broker-2"
2026/06/21 14:01:12.775057 [QueueManager] POST /topics/register took 19.941µs
2026/06/21 14:01:12.781521 [QueueManager] GET /status took 173.19µs
2026/06/21 14:01:12.801391 [QueueManager] Shutting down gracefully...
2026/06/21 14:01:12.801743 [QueueManager] Final state persisted successfully. Bye!
